date,value
2003-03-31,2.1791892457674606
2003-06-30,2.1881880282997934
2003-09-30,2.139293282992831
2003-12-31,2.044332409416851
2004-03-31,1.9659106391389125
2004-06-30,1.8215692982685037
2004-09-30,1.7709574776887271
2004-12-31,1.7793620132731398
2005-03-31,1.691132031303122
2005-06-30,1.6750560622245785
2005-09-30,1.6621457627801353
2005-12-31,1.6698534168602255
2006-03-31,1.6600516729304757
2006-06-30,1.785888191911015
2006-09-30,2.016413049442398
2006-12-31,2.2186587460128457
2007-03-31,2.3363660573805367
2007-06-30,2.3630840619356346
2007-09-30,2.340259311882207
2007-12-31,2.440688875908572
2008-03-31,2.7118030994715427
2008-06-30,2.848394805363027
2008-09-30,3.1456783510915938
2008-12-31,3.2857859243174357
2009-03-31,3.357430539250631
2009-06-30,3.4768885861809533
2009-09-30,3.3434858532186693
2009-12-31,3.243804188776899
2010-03-31,3.097576461137687
2010-06-30,2.853846027923334
2010-09-30,2.5547735212228124
2010-12-31,2.3113559291566004
2011-03-31,2.025989793683953
2011-06-30,1.8578035102637942
2011-09-30,1.806266342836713
2011-12-31,1.6885637211168154
2012-03-31,1.6267370134929613
2012-06-30,1.596907822377363
2012-09-30,1.51687333370398
2012-12-31,1.5234548698042922
2013-03-31,1.5710247648683593
2013-06-30,1.6281277498787483
2013-09-30,1.630944281811303
2013-12-31,1.575763477950361
2014-03-31,1.5561692062586028
2014-06-30,1.6120248868582094
2014-09-30,1.729162589501309
2014-12-31,1.8789237083674057
2015-03-31,1.9572264584170371
2015-06-30,2.002567854793818
2015-09-30,2.036137408773925
2015-12-31,2.0853179425630546
2016-03-31,2.176862410883544
2016-06-30,2.1813444069308607
2016-09-30,2.210688455575797
2016-12-31,2.24887768934289
2017-03-31,2.3013349932174147
2017-06-30,2.31
2017-09-30,2.36
2017-12-31,2.33
2018-03-31,2.29
2018-06-30,2.34
2018-09-30,2.3
2018-12-31,2.36
2019-03-31,2.36
2019-06-30,2.34
2019-09-30,2.34
2019-12-31,2.36
2020-03-31,2.37
2020-06-30,2.26
2020-09-30,2.09
2020-12-31,1.84
2021-03-31,1.72
2021-06-30,1.61
2021-09-30,1.57
2021-12-31,1.56
2022-03-31,1.61
2022-06-30,1.81
2022-09-30,2.02
2022-12-31,2.22
2023-03-31,2.33
2023-06-30,2.41
2023-09-30,2.53
2023-12-31,2.66
2024-03-31,2.78
2024-06-30,2.88
2024-09-30,2.89957434311354
2024-12-31,2.96
2025-03-31,2.94
2025-06-30,2.93
2025-09-30,2.99
2025-12-31,2.951661558007868
2026-03-31,2.97
