date,value
2017-06-30,8.25
2017-09-30,8.21
2017-12-31,7.31
2018-03-31,5.84
2018-06-30,7.049999999999999
2018-09-30,7.290000000000001
2018-12-31,7.13
2019-03-31,5.7700000000000005
2019-06-30,6.7
2019-09-30,7.33
2019-12-31,7.24
2020-03-31,5.52
2020-06-30,3.94
2020-09-30,5.28
2020-12-31,5.65
2021-03-31,4.279999999999999
2021-06-30,3.9899999999999998
2021-09-30,5.38
2021-12-31,5.74
2022-03-31,5.27
2022-06-30,6.29
2022-09-30,7.61
2022-12-31,7.46
2023-03-31,6.22
2023-06-30,7.66
2023-09-30,8.309999999999999
2023-12-31,8.85
2024-03-31,7.32
2024-06-30,7.99
2024-09-30,8.540000000000001
2024-12-31,8.9
